Event-Name,Event-Details
Anastasia,"<div class=""content"">
<div class=""show-run"">
<span>Tuesday, October 09, 2018</span> to <span>Sunday, October 14, 2018</span> </div>
<img alt="""" class=""wp-image-2278 size-large aligncenter"" height=""453"" sizes=""(max-width: 680px) 100vw, 680px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2018/01/ANASTASIA--1024x682.jpg"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2018/01/ANASTASIA--1024x682.jpg 1024w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/ANASTASIA--300x200.jpg 300w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/ANASTASIA--768x511.jpg 768w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/ANASTASIA-.jpg 1200w"" width=""680""/>
<p>Inspired by the beloved films, the romantic and adventure-filled new musical ANASTASIA is on a journey to Schenectady at last!</p>
<p>From the Tony Award®-winning creators of the Broadway classic <em>Ragtime</em>, this dazzling show transports us from the twilight of the Russian Empire to the euphoria of Paris in the 1920s, as a brave young woman sets out to discover the mystery of her past. Pursued by a ruthless Soviet officer determined to silence her, Anya enlists the aid of a dashing conman and a lovable ex-aristocrat. Together, they embark on an epic adventure to help her find home, love, and family. </p>
<p>ANASTASIA features a book by celebrated playwright Terrence McNally, a lush new score by Stephen Flaherty (music) and Lynn Ahrens (lyrics) with direction by Tony Award® winner Darko Tresnjak.</p>
<h2>Special Events and Programs</h2>
<p><strong>Kids Night on Broadway- Wednesday, October 10, 2018, 6:00 P.M.</strong><br/>
Buy One Adult Ticket, get One Kids’ Ticket* FREE Use Code: KIDSNIGHT at Box Office or checkout – Please note, this promotional is no longer valid, but the event before the show is free to attend and open to all.<br/>
Come early for the Kids’ Night Fun Fair with free kids’ activities, prizes, a photo booth, face paint, crafts and more!<br/>
*No retroactive discounts, offer only valid for October 10, 2018 performance, quantities limited, other restrictions apply</p>
<p><a href=""https://school.proctors.org/theatretalks/"" rel=""noopener"" target=""_blank""><strong>Henry Schaffer TheatreTalks –  Thursday, October 11, 2018 4:00 P.M.</strong></a><br/>
Henry Schaffer TheatreTalks offer guests exclusive behind-the-scenes discussions with cast, crew and industry professionals! TheatreTalks are FREE and open to all ticket holders. Talk will follow the Thursday matinee performance starting at approximately 4 pm in the GE Theatre. Dates and times subject to change.</p>
<p><strong>Teacher Appreciation Night – Friday October 12, 6:30 P.M.</strong><br/>
Join us for Teacher Appreciation Night on Friday October 12th.<br/>
Use Code JOURNEY to receive 10% Off*<br/>
Enjoy a pre-show party in the Guild Room at 6:30 pm with light fare and a cash bar.<br/>
*some restrictions apply</p>
<p><strong><a href=""http://school.proctors.org/broadway-master-classes/"">Broadway Masterclass- Saturday, October 13, 11:30 A.M. (SOLD OUT)</a></strong><br/>
From the stage to the classroom, don’t miss out on this exclusive opportunity to learn from a member of the cast of ANASTASIA in this vocal master class. Suitable for ages 12 and up. This Broadway Masterclass is sold out, <a href=""https://school.proctors.org/broadway-master-classes/"">click here</a> to see a list of all master classes. </p>
<p><strong><a href=""//www.proctors.org/event/anastasia-tea-party/"">Anastasia American Girl Tea Party – Saturday, October 13, 5:00 P.M.</a></strong><br/>
Join Proctors for a special American Girl Tea Party in honor of Anastasia at Proctors!<br/>
Bring your American girl doll and enjoy sweet treats, tea sandwiches and tea. Each ticket includes an entry to win the American Girl Doll Rebecca who shares Russian heritage with Anastasia. Additional raffle tickets can be purchased at the event and proceeds will benefit the School of the Performing Arts.</p>
<h2>Accessibility</h2>
<div><span style=""font-size: medium"">At Proctors, we aim to make theatre accessible for all. For Anastasia, we are proud to offer four options for hearing impaired individuals.</span></div>
<div> </div>
<div><span style=""font-size: medium""><b>Sunday, October 14, 2 pm</b></span></div>
<div><span style=""font-size: medium""><b>Interpreted Performance</b></span></div>
<div><span style=""font-family: Helvetica Neue;font-size: medium"">This performance will feature a sign language interpreter. To request access to this section, please call our box office at 518.346.6204</span></div>
<div><span style=""font-size: medium""> </span></div>
<div><span style=""font-family: Helvetica Neue;font-size: medium"">For all performances:</span></div>
<div> </div>
<div><span style=""font-family: Helvetica Neue;font-size: medium""><b>Gala Pro</b></span></div>
<div>Proctors is excited to be the first theatre outside of New York City to offer the GalaPro app. The GalaPro app delivers automated multilingual subtitles, closed captioning, dubbing, audio descriptions, and amplification to the user’s mobile device.<strong>Galapro will only be available for Friday, Saturday, and Sunday performances.</strong> </div>
<div>For instructions on how to download and use the GalaPro app, <a href=""https://www.proctors.org/wp-content/uploads/sites/4/2018/05/GalaPro-Anastasia-Instructions-.pdf"">click here</a></div>
<div><span style=""font-family: Helvetica Neue;font-size: medium""><br/>
</span><span style=""font-family: Helvetica Neue;font-size: medium""><b>Hearing Loop</b></span></div>
<div><span style=""font-family: Helvetica Neue;font-size: medium"">Proctors now offers a hearing loop system in our theatre. Simply turn your hearing device onto the t-coil setting to amplify the sound. </span></div>
<div><span style=""font-size: medium""> </span></div>
<div><span style=""font-family: Helvetica Neue;font-size: medium""><b>Sound Receivers </b></span></div>
<div><span style=""font-family: Helvetica Neue;font-size: medium"">FM wireless sound receivers are available at the Box Office before the show. These headsets are standard walkman headsets; patrons are welcomed to bring their own in lieu of borrowing one. They can be reserved by contacting the Box Office at 518.346.6204.</span></div>
<div> </div>
<div>Looking for the study guide? <a href=""https://school.proctors.org/wp-content/uploads/sites/2/2018/10/Anastasia-StudyGui-Reduced.pdf"">Click here</a></div>
<div> </div>
<div> </div>
</div>"
I Have a Dream SD,"<div class=""content"">
<div class=""show-run"">
<span>Tuesday, February 12, 2019</span> </div>
<p><strong>I HAVE A DREAM</strong><br/>
BY BRUCE CRAIG MILLER<br/>
February 12, 2019 | 10 a.m. &amp; 12:15 p.m.<br/>
Cost: $6/$7<br/>
MainStage at Proctors</p>
<p>Run Time: 50 minutes<br/>
Grades 3+</p>
<p><strong>Curriculum Connections: ELA, HISTORY, MULTI-CULTURAL, PUBLIC SPEAKING, IDENTITY</strong></p>
<p>This compelling dramatization of the life and times of one of the most influential and charismatic leaders of the “American Century” and the Civil Rights movement will inspire your students as they experience Dr. Martin Luther King, Jr.’s struggle and his dream of lifting “our nation from the quicksand of racial injustice to the solid rock of brotherhood.”</p>
<p><a href=""https://school.proctors.org/education-group-ordering/"" rel=""noopener"" target=""_blank"">School Group Order Information</a><br/>
A limited number of single tickets are available, please contact the Box Office at (518) 346-6204 to purchase.</p>
</div>"
Film: LIVES WELL LIVED,"<div class=""content"">
<div class=""show-run"">
<span>Thursday, December 27, 2018</span> to <span>Saturday, December 29, 2018</span> </div>
<p> </p>
<p class=""x_MsoNormal""><b>LIVES WELL LIVED</b></p>
<p class=""x_MsoNormal""><i>“A heartfelt reminder that for many, age is just a number”</i> – L.A. Times </p>
<p class=""x_MsoNormal""><i>“Extraordinary and uplifting!” – </i>New York Calling</p>
<p class=""x_MsoNormal"">Lives Well Lived celebrates the incredible wit, wisdom and experiences of adults aged 75 to 100 years old. Through their intimate memories and inspiring personal histories encompassing over 3000 years of experience, forty people share their secrets and insights to living a meaningful life. These men and women open the vault on their journey into old age through family histories, personal triumph and tragedies, loves and losses – seeing the best and worst of humanity along the way. Their stories will make you laugh, perhaps cry, but mostly inspire you. 72 minutes.  Not rated.</p>
<p class=""x_MsoNormal""><b><span style=""color: #000000"">Thursday, December 27 at 2pm, 4pm and 6pm</span></b><br/>
<b><span style=""color: #000000"">Friday, December 28 at 1pm</span></b><br/>
<b><span style=""color: #000000"">Saturday, December 29 at 2pm, 4pm and 6pm</span></b></p>
<p class=""x_MsoNormal"">All Tickets: $6</p>
<p> </p>
</div>"
The Lightning Thief,"<div class=""content""> <div class=""show-run""> <span>Friday, February 22, 2019</span> to <span>Saturday, February 23, 2019</span> </div> <p><strong>The Lightning Thief: The Percy Jackson Musical</strong></p> <p><strong>February 22 – 23, 2019</strong></p> <p>“Worthy  of  the  gods!” – (Time  Out  New  York)<br/> This “winning adaptation” (The  Hollywood  Reporter)  of  the  best-selling  Disney-Hyperion  novel  by  Rick  Riordan,  <em>The  Lightning  Thief:  The  Percy  Jackson  Musical</em>  is  “electrifying!”  (Newsday).  The Greek gods are  real,  and  they’re  ruining  Percy  Jackson’s  life.  As a son  of  Poseidon, Percy  has  newly  discovered  powers  he  can’t  control,  monsters  on  his  trail,  and  is  on  an  epic  quest  to  find  Zeus’s  lightning  bolt  to  prevent  a  war  between  the  gods.  Nominated for 3  Drama  Desk  Awards  including  Best  Musical,  <em>The Lightning  Thief</em>  is  “mesmerizing”  and  proves  “lightning  can  strike  twice!”  (TheaterMania)</p> </div>"
Burlesque W/Live Post-Film Performance!,"<div class=""content"">
<div class=""show-run"">
<span>Tuesday, March 05, 2019</span> </div>
<p> </p>
<p><em>It Came From Schenectady presents:</em><br/>
<b>BURLESQUE</b> w/LIVE burlesque performances<br/>
by Albany’s <i>POP CULTURE PROVOCATEURS<span class=""x_gmail_default""> (following the film)</span></i></p>
<p>Ali, a small-town gal with a great voice <i>(Christina Aguilera)</i>, leaves a troubled life behind and follows her dreams to Los Angeles. She lands a job as a cocktail waitress at the Burlesque Lounge, a once-majestic theater that houses an inspired musical revue led by the proprietor <i>(Cher)</i>. Helping restore the club to its former glory, Ali makes the leap from bar to stage with the help of a savvy stage manager and a gender-bending host.  The all-star cast also features Julianne Hough, Peter Gallagher, Kristen Bell, James Brolin and Stanley Tucci. </p>
<p>Prior to the start of the film, Albany’s <i>POP CULTURE PROVOCATEURS</i> will speak about the art and history of burlesque and introduce the screening.  Following the movie, they will present sample performances live.<i> Tipping is encouraged! </i> PCP are an all-femme burlesque production company led by Noelle Reign, Persephone Pomme and Teasy Roosevelt.  As with all ICFS events, expect prizes, surprises, themed drinks and comfy couches.  Event runtime 150+ minutes (incl. the 119 min movie). </p>
<div>The film is rated PG-13 for sexual content incl. several suggestive dance routines, partial nudity, language and some thematic material.  All of the above is also true of the LIVE post-show performances, but given it’s live, <span class=""x_gmail_default"">we are treating it</span> as Rated R.  In other word<span class=""x_gmail_default"">s</span>… this is an Adults only event.</div>
<div> </div>
<div><b>Tuesday, March 5 at 7pm</b></div>
<div> </div>
</div>"
Rochmon Presents Queen,"<div class=""content"">
<div class=""show-run"">
<span>Friday, April 26, 2019</span> </div>
</div>"
Thruway: A Sing Off,"<div class=""content"">
<div class=""show-run"">
<span>Friday, March 08, 2019</span> </div>
<p>Union and groups from 3 other regional colleges will compete for the title of best singing group. All proceeds from the event will benefit Community Land Trust of Schenectady.</p>
</div>"
Lou Gramm: The Juke Box Hero,"<div class=""content""> <div class=""show-run""> <span>Saturday, December 29, 2018</span> </div> <p>Founding member of Foreigner – one of the greatest singers in Rock music, LOU GRAMM’S unique vocals and hit songs have placed FOREIGNER™, among Billboard’s Top Artists of all time. Their 16 Billboard Top 40 Hit Songs defined an era.</p> <p>Top 10 Hits include:</p> <p>“I WANT TO KNOW WHAT LOVE IS”<br/> “DOUBLE VISION”<br/> “COLD AS ICE”<br/> “HEAD GAMES”<br/> “JUKE BOX HERO”<br/> “BLUE MORNING”<br/> “HOT BLOODED”<br/> “FEELS LIKE THE FIRST TIME”<br/> “URGENT”<br/> “SAY YOU WILL”<br/> “I DON’T WANT TO LIVE WITHOUT YOU”<br/> “WAITING FOR A GIRL LIKE YOU”</p> <p>Plus Lou’s Top 10 Solo Hit</p> <p>“MIDNIGHT BLUE”<br/> and more!</p> </div>"
Film: MORE THAN WORDS: The Photography of Newsman Bob Paley,"<div class=""content"">
<div class=""show-run"">
<span>Friday, December 28, 2018</span> </div>
<div class=""video embed-wrapper""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""383"" src=""https://www.youtube.com/embed/DzTAJAtp0JI?feature=oembed"" width=""680""></iframe></div>
<p>Dubbed a poet with a camera, photojournalist Bob Paley served Albany’s <i>Knickerbocker News</i> for nearly 30 years.  Also a contributor to legendarily selective <i>Time-Life </i>publications, Paley had the uncanny ability – with a single photo –  to capture the mood, the moment and the meaning of the forces that rocked mid-twentieth century America, whether they be Woodstock, Vietnam, the Kennedy brothers, or the American struggle for civil rights.</p>
<p><b>More Than Words</b> also tells the story of how a small upstate New York community coped with the powerful forces unleashed in America as our country came of age in the years following World War II.  Drawing heavily from Paley’s photo library, the film additionally includes valuable and fascinating personal testimony from those who lived through the turbulent times.   </p>
<p>Paley’s daughter, film director Mary Paley, will attend the screening  – along with other key members of her crew – to discuss their collective efforts.</p>
<p>Not Rated.  85 minutes plus post-screening Q&amp;A.</p>
<p><b>December 28 at 7pm</b></p>
<p>$9 Adults; $6 Seniors, Students w/ID</p>
</div>"
Piff the Magic Dragon,"<div class=""content"">
<div class=""show-run"">
<span>Sunday, December 09, 2018</span> </div>
<p><strong>Piff the Magic Dragon</strong></p>
<p><strong>December 9, 2018</strong></p>
<p>The star of NBC’s America’s Got Talent and Penn &amp; Teller: Fool Us, think Larry David in a dragon suit performing jaw-dropping magic tricks and you’re on the right track.</p>
<p>With over 100 million online views, sold out shows across the US and Canada and a residency at the Flamingo Hotel and Casino on the Las Vegas strip now extended throughout 2018, <em>Piff the Magic Dragon</em> has proved he’s here to stay. Joined by Mr Piffles, The World’s Only Magic Performing Chihuahua™, the dynamic duo have performed all over the world in iconic venues such as Radio City Music Hall, Shakespeare’s Globe, the O2, London and Sydney Opera house. He was the opening act for Mumford &amp; Sons on their 17 date UK tour and graces the cover of their Grammy award winning album “Babel”.</p>
<p>Call him unique, call him an icon, whatever you call him, Piff will leave you asking…”how are you going to top a guy in a dragon suit?” (New York Times)</p>
<p>Want more? Join us for <strong>Piff’s Private Party</strong><br/>
This personal experience includes:<br/>
– A poster signed by Piff<br/>
– A photo with Piff and / or Mr. Piffles<br/>
– A chance to get a video shout out to kid or friend from Piff<br/>
– A chance to win Mr. Piffles<br/>
– A one on one magic trick</p>
</div>"
